USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
tanu              7394  21.7  3.7 1953291472 307344   ??  S    11:09AM   0:19.93 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/tanu/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --max-active-webgl-contexts=32 --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1787022621955066 --launch-time-ticks=8928699024 --shared-files --field-trial-handle=1718379636,r,9458431235594540028,15585894896963821401,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,10488696142628208022,14478693751458410815,4 --trace-process-track-uuid=3190708990060038890 --vscode-window-config=vscode:42a9412e-0222-448d-98f1-1f3ca32721a1 --seatbelt-client=63
_windowserver      612   4.4  1.2 436261984 102624   ??  Ss    8:56PM  20:15.81 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
root               673   0.4  0.1 435350192  11616   ??  Ss    8:56PM   0:27.09 /usr/libexec/syspolicyd
root               618   0.3  0.2 435354288  15328   ??  Ss    8:56PM   0:52.20 /usr/libexec/runningboardd
root               816   0.3  0.1 435353536  12400   ??  Ss    8:56PM   0:31.40 /usr/libexec/wifip2pd
tanu               871   0.1  0.1 435340448   8736   ??  S     8:56PM   0:01.92 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
tanu              1326   0.1  0.2 435370240  12592   ??  Ss    8:57PM   0:01.84 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
root               607   0.1  0.1 435341088   8176   ??  Ss    8:56PM   0:29.19 /usr/libexec/corebrightnessd --launchd
root               582   0.1  0.1 435342448   8304   ??  Ss    8:56PM   0:05.83 /System/Library/CoreServices/launchservicesd
tanu              7391   0.0  0.1 485700112   8320   ??  S    11:09AM   0:00.02 /Applications/Visual Studio Code.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=/Users/tanu/Library/Application Support/Code/Crashpad --url=appcenter://code?aid=de75e3cc-e22f-4f42-a03f-1409c21d8af8&uid=3b884522-5701-4cbb-938a-f1581cb94411&iid=3b884522-5701-4cbb-938a-f1581cb94411&sid=3b884522-5701-4cbb-938a-f1581cb94411 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.133.0 --annotation=plat=OS X --annotation=prod=Electron --annotation=ver=42.8.0 --handshake-fd=21
tanu              7389   0.0  0.1 435370240   8048   ??  Ss   11:09AM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
tanu              7387   0.0  0.0 435310176   2960   ??  Ss   11:09AM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AUCrashHandlerService.xpc/Contents/MacOS/AUCrashHandlerService
tanu              7385   0.0  0.3 435423728  23616   ??  Ss   11:09AM   0:00.05 /System/Library/PrivateFrameworks/MacinTalk.framework/PlugIns/MacinTalkAUSP.appex/Contents/MacOS/MacinTalkAUSP -AppleLanguages ("en-IN")
tanu              7386   0.0  0.1 435370400   8048   ??  Ss   11:09AM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
tanu              7383   0.0  0.1 435370208   8048   ??  Ss   11:09AM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
tanu              7384   0.0  0.1 435370320   8048   ??  Ss   11:09AM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
tanu              7382   0.0  0.1 435369744   8048   ??  Ss   11:09AM   0:00.06 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
tanu              7381   0.0  0.1 435422464   9792   ??  Ss   11:09AM   0:00.04 /System/iOSSupport/System/Library/ExtensionKit/Extensions/MauiAUSP.appex/Contents/MacOS/MauiAUSP -AppleLanguages ("en-IN")
tanu              7380   0.0  0.3 435423440  24272   ??  Ss   11:09AM   0:00.09 /System/iOSSupport/System/Library/ExtensionKit/Extensions/KonaSynthesizer.appex/Contents/MacOS/KonaSynthesizer -AppleLanguages ("en-IN")
tanu              7379   0.0  0.3 435424592  23504   ??  Ss   11:09AM   0:00.09 /System/iOSSupport/System/Library/ExtensionKit/Extensions/SiriAUSP.appex/Contents/MacOS/SiriAUSP -AppleLanguages ("en-IN")
tanu              7378   0.0  0.2 435422976  18864   ??  Ss   11:09AM   0:00.06 /System/Library/PrivateFrameworks/MacinTalk.framework/PlugIns/WardaSynthesizer.appex/Contents/MacOS/WardaSynthesizer -AppleLanguages ("en-IN")
tanu              7377   0.0  0.1 435345248   7712   ??  S    11:09AM   0:00.15 /System/Library/PrivateFrameworks/TextToSpeechVoiceBankingSupport.framework/Support/voicebankingd
tanu              7376   0.0  0.1 435369904   8048   ??  Ss   11:09AM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
tanu              7375   0.0  0.1 435353232  11344   ??  S    11:09AM   0:00.68 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
tanu              7374   0.0  0.1 435370208   8016   ??  Ss   11:09AM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
tanu              7373   0.0  0.3 435564352  24912   ??  Ss   11:09AM   0:00.26 /System/Library/ExtensionKit/Extensions/TextThumbnailExtension.appex/Contents/MacOS/TextThumbnailExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUucXVpY2tsb29rLnRodW1ibmFpbC5UZXh0RXh0ZW5zaW9uIn0=
tanu              7372   0.0  0.1 435360736   8320   ??  Ss   11:09AM   0:00.20 /System/Library/ExtensionKit/Extensions/AudiovisualThumbnailExtension.appex/Contents/MacOS/AudiovisualThumbnailExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5xdWlja2xvb2sudGh1bWJuYWlsLkF1ZGlvdmlzdWFsRXh0ZW5zaW9uIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjF9
tanu              7371   0.0  0.1 435351024   8992   ??  Ss   11:09AM   0:00.12 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
tanu              7366   0.0  0.1 435352304   7792   ??  Ss   11:08AM   0:00.05 /System/Library/ExtensionKit/Extensions/IFTelemetrySELFIngestor.appex/Contents/MacOS/IFTelemetrySELFIngestor -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5saWdodGhvdXNlLklGVGVsZW1ldHJ5U0VMRkluZ2VzdG9yIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
tanu              7365   0.0  0.1 435353184   9008   ??  Ss   11:08AM   0:00.05 /System/Library/ExtensionKit/Extensions/GMSSELFIngestor.appex/Contents/MacOS/GMSSELFIngestor -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5zaXJpLkdNU1NFTEZJbmdlc3RvciIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
tanu              7364   0.0  0.1 435352656   8256   ??  Ss   11:08AM   0:00.06 /System/Library/ExtensionKit/Extensions/BiomeSELFIngestor.appex/Contents/MacOS/BiomeSELFIngestor -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5saWdodGhvdXNlLkJpb21lU0VMRkluZ2VzdG9yIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
tanu              7363   0.0  0.1 435352096   8272   ??  Ss   11:08AM   0:00.06 /System/Library/ExtensionKit/Extensions/IFTranscriptSELFIngestor.appex/Contents/MacOS/IFTranscriptSELFIngestor -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUubGlnaHRob3VzZS5JRlRyYW5zY3JpcHRTRUxGSW5nZXN0b3IifQ==
tanu              7362   0.0  0.1 435351648   9824   ??  Ss   11:08AM   0:00.24 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
tanu              7361   0.0  0.1 435351264  11680   ??  Ss   11:08AM   0:00.15 /System/Library/PrivateFrameworks/SiriAnalytics.framework/Versions/A/XPCServices/SAExtensionOrchestrator.xpc/Contents/MacOS/SAExtensionOrchestrator
tanu              7348   0.0  0.1 435340688   5312   ??  Ss   11:05AM   0:00.18 /System/Library/PrivateFrameworks/SiriSuggestionsSupport.framework/Versions/A/XPCServices/SiriSuggestionsBookkeepingService.xpc/Contents/MacOS/SiriSuggestionsBookkeepingService
tanu              7347   0.0  0.4 435432672  31152   ??  S    11:05AM   0:03.57 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
tanu              7346   0.0  0.1 435340048   5840   ??  Ss   11:05AM   0:00.02 /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/Contents/MacOS/intents_helper
tanu              7339   0.0  0.3 435408400  23872   ??  Ss   11:05AM   0:00.11 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
tanu              7333   0.0  1.5 1949150304 124608   ??  S    11:04AM   0:00.34 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=64 --time-ticks-at-unix-epoch=-1787022621957230 --launch-time-ticks=8644510237 --shared-files --metrics-shmem-handle=1752395122,r,17486027756101095595,73114038101564235,2097152 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190709046282549830 --seatbelt-client=287
tanu              7330   0.0  4.9 1949382480 411984   ??  S    11:04AM   0:10.24 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=62 --time-ticks-at-unix-epoch=-1787022621957230 --launch-time-ticks=8640284779 --shared-files --metrics-shmem-handle=1752395122,r,8142932399013211410,10338856197623892916,2097152 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190709044408466132 --seatbelt-client=287
tanu              7309   0.0  1.6 1949157568 133728   ??  S    11:02AM   0:00.85 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --top-chrome-webui --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=51 --time-ticks-at-unix-epoch=-1787022621957230 --launch-time-ticks=8540498906 --shared-files --metrics-shmem-handle=1752395122,r,13591432555357764862,11208398637402476506,2097152 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190709034101005793 --seatbelt-client=221
tanu              7305   0.0  1.1 1949154256  90144   ??  S    11:02AM   0:00.39 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=47 --time-ticks-at-unix-epoch=-1787022621957230 --launch-time-ticks=8533951958 --shared-files --metrics-shmem-handle=1752395122,r,7427687912571347941,7350026894216922055,2097152 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190709030352838397 --seatbelt-client=82
tanu              7303   0.0  1.1 1949177248  96272   ??  S    11:02AM   0:00.36 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=44 --time-ticks-at-unix-epoch=-1787022621957230 --launch-time-ticks=8533821777 --shared-files --metrics-shmem-handle=1752395122,r,2194762457867798064,16137292442736676380,2097152 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190709027541712850 --seatbelt-client=84
tanu              7302   0.0  1.0 1949155920  84192   ??  S    11:02AM   0:00.22 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=45 --time-ticks-at-unix-epoch=-1787022621957230 --launch-time-ticks=8533818612 --shared-files --metrics-shmem-handle=1752395122,r,5382694635286010925,10812981847350141236,2097152 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190709028478754699 --seatbelt-client=82
tanu              7289   0.0  0.0 435428016   3920   ??  Ss   11:01AM   0:00.51 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
tanu              7271   0.0  1.1 1949153072  88096   ??  S    11:01AM   0:00.21 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=29 --time-ticks-at-unix-epoch=-1787022621957230 --launch-time-ticks=8463100235 --shared-files --metrics-shmem-handle=1752395122,r,2020651801449289375,8715776260003157648,2097152 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190709013486085115 --seatbelt-client=82
tanu              7267   0.0  0.8 486095360  64240   ??  S    11:01AM   0:00.15 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=video_capture.mojom.VideoCaptureService --lang=en-GB --service-sandbox-type=none --message-loop-type-ui --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --shared-files --metrics-shmem-handle=1752395122,r,6454002614991427706,9760901861348654361,524288 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190709011612001417
tanu              7266   0.0  1.5 1949175088 127856   ??  S    11:01AM   0:01.02 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.138/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=26 --time-ticks-at-unix-epoch=-1787022621957230 --launch-time-ticks=8448405997 --shared-files --metrics-shmem-handle=1752395122,r,2182285562801937577,11405088457753469987,2097152 --field-trial-handle=1718379636,r,1380034372471319010,13307171947364953388,262144 --variations-seed-version=20260817-170059.061000-production --pseudonymization-salt-handle=1935764596,r,7582646826976755304,17069788977210053331,4 --trace-process-track-uuid=3190709010674959568 --seatbelt-client=181
tanu              7252   0.0  0.1 435342496   8368   ??  S    11:00AM   0:00.18 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
tanu              7251   0.0  0.3 435408576  24608   ??  Ss   11:00AM   0:00.13 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
tanu              7242   0.0  0.1 435369920   8000   ??  Ss   10:59AM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
tanu              7241   0.0  0.0 435366896   2000   ??  Ss   10:59AM   0:00.03 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
