USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
tanu              5467  23.2 11.7 439615520 984320   ??  Ss    3:33PM  14:08.06 /System/Library/Frameworks/Virtualization.framework/Versions/A/XPCServices/com.apple.Virtualization.VirtualMachine.xpc/Contents/MacOS/com.apple.Virtualization.VirtualMachine
tanu              7069   8.6  4.0 1953268288 338224   ??  S    10:50AM   2:11.04 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/tanu/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --max-active-webgl-contexts=32 --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1788485273752992 --launch-time-ticks=13965013493 --shared-files --field-trial-handle=1718379636,r,8224580139564391196,15605330775160108997,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5021548839340329152,6410795907639236652,4 --trace-process-track-uuid=3190708990060038890 --vscode-window-config=vscode:0215890c-b801-4613-9079-f881a0873cb1 --seatbelt-client=64
tanu             10150   0.0  0.1 435340272   4880   ??  Ss   11:00AM   0:00.04 /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/Contents/MacOS/intents_helper
tanu             10149   0.0  0.0 435305888   3632   ??  Ss   11:00AM   0:00.02 /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/Contents/MacOS/intents_helper
root             10081   0.0  0.0 435301184   2400   ??  Ss   11:00AM   0:00.04 /System/Library/CoreServices/ReportCrash daemon
root             10080   0.0  0.1 435340240   4720   ??  Ss   11:00AM   0:00.38 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
tanu             10078   0.0  0.0 435306896   3712   ??  S    11:00AM   0:00.12 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
tanu             10077   0.0  0.0 435340032   3920   ??  S    11:00AM   0:00.23 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsagent
root             10076   0.0  0.0 435306176   1920   ??  Ss   10:59AM   0:00.04 /usr/libexec/online-auth-agent
root             10046   0.0  0.0 435301472   1664   ??  Ss   10:59AM   0:00.02 /usr/libexec/smd
root             10045   0.0  0.1 435340384   4640   ??  Ss   10:59AM   0:00.11 /usr/libexec/mobileactivationd
tanu             10026   0.0  0.0 435305776   3088   ??  S    10:59AM   0:00.04 /System/Library/Frameworks/FamilyControls.framework/Versions/A/FamilyControlsAgent
tanu             10025   0.0  0.1 435349600   4528   ??  S    10:59AM   0:00.66 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
tanu              9980   0.0  0.0 435301616   2368   ??  S    10:55AM   0:00.03 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
tanu              9979   0.0  0.1 435403600   8928   ??  S    10:55AM   0:03.88 /System/Library/CoreServices/screencaptureui.app/Contents/MacOS/screencaptureui
tanu              9400   0.0  0.1 435313552   4496 s004  Ss   10:53AM   0:00.48 /bin/zsh -il
tanu              8902   0.0  0.1 435310368   6016   ??  S<   10:52AM   0:00.13 /Applications/Visual Studio Code.app/Contents/Frameworks/Squirrel.framework/Resources/ShipIt com.microsoft.VSCode.ShipIt /Users/tanu/Library/Caches/com.microsoft.VSCode.ShipIt/ShipItState.plist
tanu              8893   0.0  0.4 1949154832  33936   ??  S    10:51AM   0:00.45 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /Applications/Visual Studio Code.app/Contents/Resources/app/extensions/markdown-language-features/dist/serverWorkerMain --node-ipc --clientProcessId=8862
root              8891   0.0  0.0 435341712   4048   ??  Ss   10:51AM   0:00.19 /usr/libexec/rtcreportingd
root              8889   0.0  0.1 435342416   5296   ??  Ss   10:51AM   0:00.41 /usr/libexec/audioanalyticsd
tanu              8878   0.0  0.1 435347120   4224   ??  S    10:51AM   0:00.39 /usr/libexec/findmylocateagent
tanu              8874   0.0  0.1 435515504   4704   ??  S    10:51AM   0:00.21 /System/Library/PrivateFrameworks/WorkflowKit.framework/XPCServices/ShortcutsViewService.xpc/Contents/MacOS/ShortcutsViewService
tanu              8861   0.0  0.5 1951232064  42832   ??  S    10:50AM   0:00.83 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/tanu/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8224580139564391196,15605330775160108997,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5021548839340329152,6410795907639236652,4 --trace-process-track-uuid=3190708995682289984
tanu              8858   0.0  0.0 435340128   3568   ??  Ss   10:50AM   0:00.16 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
root              8647   0.0  0.0 435340816   3840   ??  Ss   10:50AM   0:00.75 /usr/libexec/triald_system
root              8034   0.0  0.1 436017712   5920   ??  Ss   10:50AM   0:10.71 /usr/sbin/spindump
tanu              8033   0.0  0.0 435358816   3696   ??  Ss   10:50AM   0:00.19 /System/Library/ExtensionKit/Extensions/AudiovisualThumbnailExtension.appex/Contents/MacOS/AudiovisualThumbnailExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUucXVpY2tsb29rLnRodW1ibmFpbC5BdWRpb3Zpc3VhbEV4dGVuc2lvbiJ9
root              8032   0.0  0.0 435362608   3952   ??  Ss   10:50AM   0:00.08 /usr/libexec/fskitd
tanu              8016   0.0  0.1 435417312  10240   ??  Ss   10:50AM   0:00.29 /Applications/Google Drive.app/Contents/Applications/FinderHelper.app/Contents/PlugIns/FinderSyncExtension.appex/Contents/MacOS/FinderSyncExtension -AppleLanguages ("en-GB", "en-IN")
tanu              8013   0.0  0.1 435874336   8624   ??  S    10:50AM   0:00.38 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
tanu              8012   0.0  0.1 435303360   4592   ??  Ss   10:50AM   0:00.10 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
tanu              8010   0.0  0.1 435341872   5488   ??  S    10:50AM   0:01.53 /usr/libexec/siriknowledged
tanu              8007   0.0  0.0 435309104   2944   ??  S    10:50AM   0:00.06 /System/Library/Frameworks/MediaExtension.framework/Versions/A/Helpers/MENotificationAgent
tanu              8005   0.0  0.1 435384864   5872   ??  S    10:50AM   0:12.23 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
tanu              8008   0.0  0.0 435341328   3776   ??  S    10:50AM   0:00.19 /System/Library/PrivateFrameworks/SessionCore.framework/Support/liveactivitiesd
tanu              8003   0.0  0.2 435605040  19280   ??  Ss   10:50AM   0:03.02 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
tanu              7881   0.0  0.4 1949307152  35024   ??  S    10:50AM   0:01.19 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper /Applications/Visual Studio Code.app/Contents/Resources/app/node_modules.asar.unpacked/@github/copilot-darwin-arm64/index.js --headless --no-auto-update --log-level info --stdio --no-auto-login
tanu              7745   0.0  0.6 1951226768  48528   ??  S    10:50AM   0:01.59 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/tanu/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8224580139564391196,15605330775160108997,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5021548839340329152,6410795907639236652,4 --trace-process-track-uuid=3190708992871164437
tanu              7415   0.0  0.1 435343376   5520   ??  Ss   10:50AM   0:01.01 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
